MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
150123-301272: MUNICIPALIDAD DISTRITAL DE PACHACAMAC,LIMA,DISTRITO,"142,133","60,880","1,439,229",99.90,"1,438,148"
150133-301282: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE MIRAFLORES,LIMA,DISTRITO,"412,865",0,"1,307,774",99.30,"1,298,142"
150106-301255: MUNICIPALIDAD DISTRITAL DE CARABAYLLO,LIMA,DISTRITO,"400,414","128,000","3,231,835",99.00,"3,200,471"
080101-300684: MUNICIPALIDAD PROVINCIAL DEL CUZCO,CUSCO ,PROVINCIA,"118,217","1,235,300","2,022,286",98.60,"1,994,140"
210101-301593: MUNICIPALIDAD PROVINCIAL DE PUNO,PUNO,PROVINCIA,"230,219","112,919","1,582,043",98.60,"1,559,956"
150135-301284: MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES,LIMA,DISTRITO,"744,050","956,199","1,784,164",95.40,"1,702,297"
230101-301778: MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA,PROVINCIA,"346,192","15,000","2,402,166",94.20,"2,263,382"
130101-301127: MUNICIPALIDAD PROVINCIAL DE TRUJILLO,LA LIBERTAD,PROVINCIA,"344,374","3,298,043","1,654,913",94.10,"1,557,242"
150114-301263: MUNICIPALIDAD DISTRITAL DE LA MOLINA,LIMA,DISTRITO,"160,244","1,181,506","1,217,686",93.70,"1,141,319"
081201-300773: MUNICIPALIDAD PROVINCIAL DE QUISPICANCHIS - URCOS,CUSCO ,PROVINCIA,"101,735",0,"3,231,014",93.20,"3,011,315"
030101-300251: MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC,PROVINCIA,"120,116","60,000","5,572,788",90.90,"5,063,858"
100101-300885: MUNICIPALIDAD PROVINCIAL DE HUANUCO,HUANUCO,PROVINCIA,"315,799","11,500","3,073,219",90.40,"2,778,302"
211201-301685: MUNICIPALIDAD PROVINCIAL DE SANDIA,PUNO,PROVINCIA,"56,088","955,932","3,713,664",99.50,"3,693,541"
200202-301539: MUNICIPALIDAD DISTRITAL DE FRIAS,PIURA,DISTRITO,"117,680","300,000","779,478",98.70,"769,537"
150125-301274: MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,LIMA,DISTRITO,"395,819","362,018","669,591",98.60,"660,358"
080401-300708: MUNICIPALIDAD PROVINCIAL DE CALCA,CUSCO ,PROVINCIA,"71,582","1,662,808","2,391,754",97.20,"2,324,421"
150132-301281: MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LURIGANCHO,LIMA,DISTRITO,"1,177,629","891,008","626,976",96.90,"607,802"
210801-301663: MUNICIPALIDAD PROVINCIAL DE MELGAR - AYAVIRI,PUNO,PROVINCIA,"69,693","746,200","1,307,623",95.60,"1,250,182"
180101-301481: MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO - MOQUEGUA,MOQUEGUA,PROVINCIA,"85,349","1,703,025","8,014,425",94.50,"7,570,357"
150117-301266: MUNICIPALIDAD DISTRITAL DE LOS OLIVOS,LIMA,DISTRITO,"351,983","1,124,650","613,768",94.40,"579,607"
070102-300678: MUNICIPALIDAD DISTRITAL DE BELLAVISTA,CALLAO,DISTRITO,"80,704","198,940","1,074,580",94.00,"1,010,252"
040110-300340: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,AREQUIPA,DISTRITO,"63,632","2,337,918","2,322,580",92.80,"2,154,233"
020105-300089: MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA,ANCASH,DISTRITO,"87,112",0,"2,174,504",91.70,"1,993,515"
150122-301271: MUNICIPALIDAD DISTRITAL DE MIRAFLORES,LIMA,DISTRITO,"412,865","176,126","507,803",91.20,"463,253"
150101-301250: MUNICIPALIDAD METROPOLITANA DE LIMA,LIMA,PROVINCIA,"267,379","8,355,678","10,738,744",89.20,"9,574,768"
